best_match_score,School Name,State_left,Incident_ID_left,Month_left,Day_left,Year_left,Date_left,Victims_Killed_left,Victims_Wounded_left,Number_Victims_left,Shooter_Killed_left,Source_left,Number_News_left,Media_Attention_left,Reliability_left,Quarter_left,City_left,School_Level_left,Location_left,Location_Type_left,During_Classes_left,Time_Period_left,First_Shot_left,Duration_min_left,Summary_left,Narrative_left,Situation_left,Targets_left,Accomplice_left,Accomplice_Narrative_left,Hostages_left,Barricade_left,Officer_Involved_left,Bullied_left,Domestic_Violence_left,Gang_Related_left,Active_Shooter_FBI_left,Shots_Fired_left,LAT_left,LNG_left,School ID - NCES Assigned [Public School] Latest available year,School Type [Public School] 2019-20,Charter School [Public School] 2019-20,Magnet School [Public School] 2019-20,Shared Time School [Public School] 2019-20,Urban-centric Locale [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2019-20,Full-Time Equivalent (FTE) Teachers [Public School] 2019-20,Pupil/Teacher Ratio [Public School] 2019-20,NCESSCH,IPR_EST,IPR_SE,Zip_Code,,,,,,,,,,,,
0.19053148993297,KIPP INDY LEGACY HIGH,IN,20231103INKII,11,3,2023,11/3/2023,1,0,1,0,"https://www.wrtv.com/news/local-news/crime/1-critically-injured-in-shooting-outside-indianapolis-school
https://www.cbs7.com/2023/11/03/student-is-fatally-shot-outside-high-school-indianapolis/",5,Local,4,Fall,Indianapolis,High,Parking Lot,Outside on School Property,Yes,Afternoon Classes,1:00 PM,1,Student fatally shot in parking lot during afternoon classes,"The teenage student was shot shortly before 1 p.m. outside KIPP Indy Legacy School, the Indianapolis Metropolitan Police Department said. The shooter was another teenager who is not a student at the school",,Victims Targeted,No,,No,No,No,No,No,,No,99,39.79807,-86.13069,180021000000,1-Regular school,1-Yes,2-No,2-No,11-City: Large,125,9,13.89,180020602669,196,66,46218,,,,,,,,,,,,
0.196927674140934,DONALDSONVILLE HIGH SCHOOL,LA,20231027LADOD,10,27,2023,10/27/2023,1,1,2,0,https://www.wafb.com/2023/10/28/apso-1-man-dead-another-injured-shooting-near-donaldsonville-high-football-game/,5,Regional,4,Fall,Donaldsonville,High,Parking Lot,Outside on School Property,No,Sport Event,8:20 PM,1,"Two nonstudents shot outside football stadium during homecoming game, stadium evacuated","Two nonstudents shot outside Floyd Boutte Stadium during homecoming game, stadium evacuated. Shooter fled. One man was killed, other in critical condition.",,Victims Targeted,No,,No,No,No,No,No,,No,99,30.099443,-90.982625,220009000000,1-Regular school,2-No,2-No,–,31-Town: Fringe,455,32.67,13.93,,,,70346,,,,,,,,,,,,
0.192763049587324,DENBY HIGH SCHOOL,MI,20231027MIDED,10,26,2023,10/26/2023,0,1,1,0,"https://www.detroitnews.com/story/news/local/detroit-city/2023/10/27/detroit-teen-shot-near-denby-high-school-thursday-night/71341096007/
https://www.mlive.com/news/2023/10/15-year-old-shot-at-park-outside-a-detroit-high-school.html",5,Local,4,Fall,Detroit,High,Basketball Court,Outside on School Property,No,School Event,7:45 PM,1,Student shot on the athletic fields behind the school,Student shot on the athletic fields and basketball courts behind the school. Shooter fled.,,Victims Targeted,,,No,No,No,No,No,,No,,42.426029,-82.957076,260110000000,1-Regular school,2-No,2-No,2-No,11-City: Large,539,30,17.97,,,,48224,,,,,,,,,,,,
0.192763049587324,EDMONDSON HEIGHTS ELEMENTARY,MD,20231023MDEDW,10,24,2023,10/24/2023,0,1,1,0,https://www.wbaltv.com/article/baltimore-county-police-shooting-near-edmondson-heights-elementary-school/45631107#,2,Local,4,Fall,Woodlawn,Elementary,Playground,Outside on School Property,Yes,Dismissal,3:25 PM,1,Teen shot on school playground during dismissal,"Police said it happened at 3:40 p.m. at the school playground in Woodlawn. Dismissal started at 3:25 p.m. A male teen was found near the school with a gunshot wound. He was taken to a hospital and is in stable condition. ""The children who to go school here, they were in the process of being dismissed when this happened, so the school was on lockdown, but at that point, most of the kids were already out of the school,"" police spokeswoman Joy Stewart said.",,,No,,No,No,No,No,No,,No,99,39.298999,-76.719878,240012000000,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,524,32.4,16.17,,,,21207,,,,,,,,,,,,
0.228735757788911,FARNELL MIDDLE SCHOOL,FL,20231020FLFAT,10,20,2023,10/20/2023,0,0,0,1,"https://teamhcso.com/News/PressRelease/8f12d1de-a566-4f15-89a2-9b00337828f2/en-US
https://www.fox13news.com/news/hillsborough-deputies-investigating-death-at-farnell-middle-school",20,Regional,4,Fall,Tampa,Middle,Parking Lot,Outside on School Property,Yes,School Start,7:00 AM,1,Ex-husband of teacher killed himself in front of students in the drop off area,"On Friday, October 20, 2023, deputies responded to calls about a shooting that had occurred at Farnell Middle School. When deputies arrived, they located a deceased adult male in the back part of the school. The preliminary investigation shows that a man drove to where students are dropped off by bus and by their parents. As he approached the school building, he took his life with a self-inflicted gunshot wound. Unfortunately, two students were in the vicinity at the time of the shooting and witnessed the incident. Those students ran to the office, where they informed school staff and, using the CENTEGIX System, placed the school on immediate lockdown.",Suicide/Attempted,Victims Targeted,No,,No,No,No,No,No,No,No,1,28.07222,-82.635721,120087000000,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1267,63,20.11,,,,33626,,,,,,,,,,,,
0.195402424455578,EVERGREEN HIGH SCHOOL,WA,20231019WAEVV,10,19,2023,10/19/2023,0,0,0,0,https://www.kptv.com/2023/10/24/district-facing-backlash-communication-over-evergreen-hs-shooting-lockdown/,10,Local,4,Fall,Vancouver,High,Football Field/Track,Outside on School Property,Yes,Afternoon Classes,1:30 PM,1,Student fired shots on football field following fight during lunch in school courtyard,"“There were bullets going through our campus,” said Charles “Chuck” Keplar, a paraeducator, football coach, and parent at Evergreen High School, who is also running for a position on the school board. “I know there were kids out there playing soccer, eating lunch, that is the line of fire.” According to the probable cause affidavit, Vancouver police said they responded to Evergreen High School last Thursday around 1:30 p.m. Upon arriving, officers were flagged down between the school and football field, and authorities said they found multiple shell casings and unfired rounds on the ground. VPD said they arrested 16-year-old Kikarson Asan at the “edge of the school property,” who was identified by school staff as the person allegedly responsible. Asan is facing charges including assault, unlawful possession of a firearm, and possession of a dangerous weapon on school grounds. “This was 100% a student that through Thursday night was enrolled and actively coming to Evergreen HS. I have had interactions with this student at least a dozen times this year,” Keplar said. As the investigation continues, community members said they’re disappointed by what they’re calling a lack of transparency and urgency from the district. Nobody was injured in the shooting, but people said the incident escalated after a fight broke out at the high school.",Escalation of Dispute,Victims Targeted,No,,No,No,No,No,No,Yes,No,99,45.636314,-122.525282,530270000000,1-Regular school,2-No,2-No,–,12-City: Mid-size,1597,81.5,19.6,,,,98684,,,,,,,,,,,,
0.196927674140934,MATHER HIGH SCHOOL,IL,20231019ILMAC,10,19,2023,10/19/2023,0,0,0,0,https://wgntv.com/news/chicagocrime/alderman-shots-fired-near-mather-high-school-in-chicago/,1,Local,3,Fall,Chicago,High,Parking Lot,Outside on School Property,No,After School,,1,"Shots fired in school parking lot during after school activities, several cars damaged","Shots fired in school parking lot during after school activities, several cars damaged",,,,,No,No,No,No,No,,No,99,41.987506,-87.700849,170993000000,1-Regular school,2-No,2-No,2-No,11-City: Large,1525,102,14.95,170993000977,264,109,60659,,,,,,,,,,,,
0.208667091411312,EAST BROADWAY ELEMENTARY SCHOOL,OH,20231015OHEAT,10,15,2023,10/15/2023,0,1,1,0,https://www.13abc.com/2023/10/16/man-shot-neck-after-confrontation-flag-football-game/,1,Local,4,Fall,Toledo,High,Football Field/Track,Outside on School Property,No,Sport Event,10:00 AM,1,Man shot another man in the neck during dispute a youth football game,"Toledo police officers responded to the football field of East Broadway Elementary Sunday morning on reports of shots fired. Witnesses told police the suspect had pointed a gun in the victim’s face, and when the victim swiped at it, the 26-year-old victim was shot in the neck. TPD says he suffered non-life-threatening injuries. Officers stopped a truck matching the description and found Dominique McClain, 23, hiding in the backseat.",Escalation of Dispute,Victims Targeted,No,,No,No,No,No,No,No,No,1,41.619143,-83.511858,390449000000,1-Regular school,2-No,–,2-No,11-City: Large,421,65,6.48,,,,43605,,,,,,,,,,,,
0.202797382776123,MIAMI EDISON SENIOR HIGH SCHOOL,FL,20231011FLMIM,10,11,2023,10/11/2023,1,0,1,0,https://wsvn.com/news/local/miami-dade/man-killed-in-police-involved-shooting-near-miami-edison-high-school-2nd-armed-subject-in-custody/,5,Local,4,Fall,Miami,High,Football Field/Track,Outside on School Property,No,Evening,5:15 PM,1,Man was fatally shot on the school football field,Man was found fatally shot on the school football field. Second arm man was shot at by officers and detained.,,Victims Targeted,No,,No,No,No,No,No,Yes,No,99,25.831978,-80.204024,120039000000,1-Regular school,2-No,1-Yes,2-No,11-City: Large,688,39,17.64,120039000600,166,68,33127,,,,,,,,,,,,
0.228735757788911,TERRY SANFORD HIGH,NC,20231010NCTEF,10,10,2023,10/10/2023,0,0,0,0,https://abc11.com/fayetteville-police-man-shoots-at-officer-terry-sanford-high-school-involved-shooting/13886712/,,Local,4,Fall,Fayetteville,High,Field (General),Outside on School Property,No,Night,2:00 AM,1,Man fired shots are officers and barricaded inside his car near school baseball field,Man fired shots at officers striking a police car twice and then barricaded inside of his vehicle for 30 minutes near the school baseball field. He surrendered. No injuries.,Hostage/Standoff,Random Shooting,No,,No,Yes,No,No,No,No,No,99,35.063718,-78.914199,370001000000,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,1178,60.58,19.45,,,,28303,,,,,,,,,,,,
